,EventID,Start_Time,End_Time,Year,Month,Facility_Code,Participant_Code,Status,Outage_Reason,Energy_Lost_MW,Description_Of_Outage,Outage_Duration_In_Days,Risk_Classification
0,1,28/12/17 6:00,28/12/17 10:00,2017,12,DNHR_DENMARK_WF1,DNHR,Approved,Consequential,1.44,a network outage in Denmark caused the windfarm to trip at 6:26 am,0.166666667,N/A
1,2,26/12/17 9:00,27/12/17 0:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,30,Forced Outage - BS on Overhead line pole S-81 - CG10/11,0.625,High Risk
2,3,31/12/17 9:00,31/12/17 9:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.703,Under generation - ambient conditions,0,High Risk
3,4,31/12/17 8:30,31/12/17 8:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.085,Under generation - ambient conditions,0,High Risk
4,5,31/12/17 8:00,31/12/17 8:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.02,Under generation - ambient conditions,0,High Risk
5,6,30/12/17 23:30,30/12/17 23:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.79,Under generation - ambient conditions,0,High Risk
6,7,30/12/17 23:00,30/12/17 23:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,5.412,Under generation - ambient conditions,0,High Risk
7,8,30/12/17 22:30,30/12/17 22:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.735,Under generation - ambient conditions,0,High Risk
8,9,29/12/17 23:30,29/12/17 23:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.245,Under generation - ambient conditions,0,High Risk
9,10,29/12/17 23:00,29/12/17 23:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.962,Under generation - ambient conditions,0,High Risk
10,11,29/12/17 22:30,29/12/17 22:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.036,Under generation - ambient conditions,0,High Risk
11,12,28/12/17 5:00,28/12/17 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.472,Under generation - ambient conditions,0,High Risk
12,13,28/12/17 4:30,28/12/17 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.112,Under generation - ambient conditions,0,High Risk
13,14,27/12/17 5:30,27/12/17 5:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,4.088,Under generation - ambient conditions,0,High Risk
14,15,27/12/17 5:00,27/12/17 5:00,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.414,Under generation - ambient conditions,0,High Risk
15,16,27/12/17 4:30,27/12/17 4:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,3.594,Under generation - ambient conditions,0,High Risk
16,17,30/12/17 18:30,30/12/17 18:30,2017,12,MELK_G7,MELK,Approved,Forced,4,Boiler feedpump capacity,0,High Risk
17,18,30/12/17 17:30,30/12/17 18:30,2017,12,MELK_G7,MELK,Approved,Forced,4.721,Rotary Air Heater seals,0.041666667,High Risk
18,19,30/12/17 19:30,01/12/17 19:00,2017,12,MELK_G7,MELK,Approved,Forced,28.977,High silica restriction,29.02083333,High Risk
19,20,30/12/17 13:00,30/12/17 14:00,2017,12,MELK_G7,MELK,Approved,Forced,47.108,Turbine governor valve fault,0.041666667,High Risk
20,21,29/12/17 21:30,30/12/17 11:30,2017,12,MELK_G7,MELK,Approved,Forced,39.108,High silica restriction,0.583333333,High Risk
21,22,20/12/17 17:00,07/12/17 21:30,2017,12,AURICON_PNJ_U1,AURICON,Approved,Forced,1,Reduced generation capability,12.8125,High Risk
22,23,30/12/17 16:00,30/12/17 16:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,12.64,Deviation from resource plan,0,High Risk
23,24,27/12/17 17:00,27/12/17 17:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,21.29,Deviation from resource plan,0,High Risk
24,25,25/12/17 17:00,25/12/17 17:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,21.93,Deviation from resource plan,0,High Risk
25,26,25/12/17 16:30,25/12/17 16:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,25.22,Deviation from resource plan,0,High Risk
26,27,25/12/17 17:30,25/12/17 17:30,2017,12,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,20.92,Deviation from resource plan,0,Low Risk
27,28,25/12/17 16:30,25/12/17 16:30,2017,12,TIWEST_COG1,TRMOS,Cancelled By Market Participant,Forced,22.94,Deviation from resource plan,0,Low Risk
28,29,30/12/17 9:00,03/12/17 10:30,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,38.827,Forced outage due to master protective start up lockout alarm,26.9375,High Risk
29,30,31/12/17 10:30,02/12/17 11:00,2017,12,KORL_GT3,KORL,Approved,Forced,103.2,Forced outage due to a high vibration alert on power turbine,28.97916667,High Risk
30,31,31/12/17 10:00,31/12/17 10:00,2017,12,KORL_GT3,KORL,Approved,Forced,92.88,Forced outage due to a high vibration alert on power turbine,0,High Risk
31,32,31/12/17 18:00,08/12/17 11:00,2017,12,COLLGAR_WF1,COLLGAR,Approved,Forced,253.288,Steam turbine rebuild and cold commissioning,23.29166667,High Risk
32,33,28/12/17 14:00,28/12/17 14:00,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,32.356,Forced outage due to master protective lockout,0,High Risk
33,34,28/12/17 13:30,28/12/17 13:30,2017,12,WEST_KALGOORLIE_GT2,WGUTD,Approved,Forced,19.4,Forced outage due to master protective lockout,0,High Risk
34,35,28/12/17 12:00,28/12/17 12:00,2017,12,PJRH_GT11,PJRH,Approved,Forced,43.3,Forced outage due to a faulty fire damper limit switch,0,High Risk
35,36,28/12/17 11:00,28/12/17 11:00,2017,12,PJRH_GT11,PJRH,Approved,Forced,26,Forced outage due to a faulty fire damper limit switch,0,High Risk
36,37,28/12/17 12:30,28/12/17 10:30,2017,12,PJRH_GT11,PJRH,Approved,Forced,130,Forced outage due to a faulty fire damper limit switch,0.083333333,High Risk
37,38,28/12/17 12:00,28/12/17 12:00,2017,12,PJRH_GT11,PJRH,Cancelled By Market Participant,Forced,43.3,Forced outage due to a faulty fire damper limit switch,0,High Risk
38,39,21/12/17 15:30,21/12/17 15:30,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,18.44,Deviation from resource plan,0,High Risk
39,40,18/12/17 20:00,18/12/17 20:00,2017,12,TIWEST_COG1,TRMOS,Approved,Forced,14.8,Deviation from resource plan,0,High Risk
